X,Y,Z
0.767358,0.5,0.000000000199826
0.832502,0.5,0.000000000120607
0.917498,0.5,0.000000000103152
0.982642,0.5,0.000000000155614
0.767358,0.75,0.0526184
0.832502,0.75,0.0611897
0.917498,0.75,0.0683041
0.982642,0.75,0.0706384
0.5,0.767358,0
0.5,0.832502,0
0.5,0.917498,-0.000000000202614
0.5,0.982642,-0.000000000302991
0.75,0.767358,0.0526184
0.75,0.832502,0.0611897
0.75,0.917498,0.0683041
0.75,0.982642,0.0706384
0.517358,0.75,0.00377521
0.582502,0.75,0.0182312
0.667498,0.75,0.0354069
0.732642,0.75,0.0472794
0.517358,1,0.00533895
0.582502,1,0.0257828
0.667498,1,0.0500729
0.732642,1,0.0668632
0.75,0.767358,0.0526184
0.75,0.832502,0.0611897
0.75,0.917498,0.0683041
0.75,0.982642,0.0706384
1,0.767358,0.0744136
1,0.832502,0.0865353
1,0.917498,0.0965966
1,0.982642,0.0998978
0.767358,0.75,0.0526184
0.832502,0.75,0.0611897
0.917498,0.75,0.0683041
0.982642,0.75,0.0706384
0.767358,1,0.0744136
0.832502,1,0.0865353
0.917498,1,0.0965966
0.982642,1,0.0998978
